Field_Name,Table
PSXCOMM,NONE
PVTPSP51,NONE
PVTPSP53,NONE
PVTPSP54,NONE
PVTPSP58,PVL
PVDESCPT,PVL
PVACTION,PVL
PVLCOMM,PVL
PVSECTN,PVR
PVADTINF,PVR
PVREVBY,PVR
PXHELPSP,PXS
PXPTAYSP,PXS
PXPTANSP,PXS
PXCOMCEL,PXS
PXCOMPAR,PXS
PXSCOMM,PXS
S62PRFSP,S62
Q71SITE,Q71
Q71SITSP,Q71
Q71EMAIL,Q71
Q71HSPSP,Q71
Q71PSCSP,Q71
